Function name	Segment	Start	Length	Locals	Arguments	R	F	L	M	O	S	B	T	=	X
sub_406210	.text	00406210	0000000F	00000004	00000004	R	.	.	.	.	.	B	T	.	.
sub_406220	.text	00406220	000000E8	0000000C	00000004	R	.	.	.	.	.	.	T	.	.
sub_406310	.text	00406310	0000001A	00000000		R	.	.	.	.	.	.	T	.	.
sub_406330	.text	00406330	0000001B	00000008		R	.	.	.	.	.	.	T	.	.
sub_406350	.text	00406350	00000006	00000000		R	.	.	.	.	.	.	.	.	.
sub_406360	.text	00406360	00000006	00000000		R	.	.	.	.	.	.	.	.	.
sub_406370	.text	00406370	00000014	00000000		R	.	.	.	.	.	.	T	.	.
sub_406390	.text	00406390	0000000A	00000004		R	.	.	.	.	.	.	T	.	.
sub_4063A0	.text	004063A0	0000009A	00000000		R	.	.	.	.	.	.	.	.	.
sub_406440	.text	00406440	0000000E	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_406450	.text	00406450	0000001B	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_406470	.text	00406470	00000012	00000000		R	.	.	.	.	.	.	T	.	.
sub_406490	.text	00406490	0000000C	00000000		R	.	.	.	.	.	.	.	.	.
sub_4064A0	.text	004064A0	000000EF	0000000C	00000004	R	.	.	.	.	.	.	.	.	.
sub_406590	.text	00406590	0000002C	00000004	00000004	R	.	.	.	.	.	.	.	.	.
sub_4065C0	.text	004065C0	000001AE	000000A8	00000008	R	.	.	.	.	.	B	.	.	.
sub_406720	.text	00406720	000000F9	00000090	00000008	R	.	.	.	.	.	B	.	.	.
sub_4067E0	.text	004067E0	000000F9	00000090		R	.	.	.	.	.	B	.	.	.
sub_4068A0	.text	004068A0	00000033	00000004		R	.	.	.	.	.	.	.	.	.
sub_4068E0	.text	004068E0	000000A6	00000020	00000009	R	.	.	.	.	.	.	.	.	.
sub_406960	.text	00406960	00000109	0000000C		R	.	.	.	.	.	.	T	.	.
sub_406A70	.text	00406A70	000000B3	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_406B30	.text	00406B30	00000064	00000008		R	.	.	.	.	.	.	.	.	.
sub_406BA0	.text	00406BA0	00000013	00000004		R	.	.	.	.	.	.	.	.	.
sub_406BC0	.text	00406BC0	00000012	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_406BE0	.text	00406BE0	00000038	00000004		R	.	.	.	.	.	B	.	.	.
sub_406C20	.text	00406C20	00000031	00000004	0000000C	R	.	.	.	.	.	.	T	.	.
sub_406C60	.text	00406C60	00000006	00000000		R	.	.	.	.	.	.	.	.	.
sub_406C70	.text	00406C70	0000000E	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_406C80	.text	00406C80	00000034	00000000		R	.	.	.	.	.	.	.	.	.
sub_406CC0	.text	00406CC0	0000000D	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_406CD0	.text	00406CD0	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_406D00	.text	00406D00	00000040	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_406D40	.text	00406D40	00000034	00000000		R	.	.	.	.	.	.	.	.	.
sub_406D80	.text	00406D80	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_406DB0	.text	00406DB0	00000040	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_406DF0	.text	00406DF0	00000034	00000000		R	.	.	.	.	.	.	.	.	.
sub_406E30	.text	00406E30	0000006C	00000004		R	.	.	.	.	.	.	.	.	.
sub_406EA0	.text	00406EA0	000000A4	00000000		R	.	.	.	.	.	.	.	.	.
sub_406F50	.text	00406F50	00000090	00000008		R	.	.	.	.	.	.	.	.	.
sub_406FE0	.text	00406FE0	00000082	00000008	00000008	R	.	.	.	.	.	.	.	.	.
sub_407070	.text	00407070	00000067	0000000C		R	.	.	.	.	.	.	.	.	.
sub_4070E0	.text	004070E0	000000BD	00000010	0000000C	R	.	.	.	.	.	.	.	.	.
sub_4071C0	.text	004071C0	00000059	00000008	00000004	R	.	.	.	.	.	.	.	.	.
sub_407220	.text	00407220	0000003A	00000008	00000004	R	.	.	.	.	.	.	.	.	.
EnumFunc	.text	00407270	00000044	00000004	00000008	R	.	.	.	.	.	.	T	.	.
sub_4072C0	.text	004072C0	000000CD	00000018	00000008	R	.	.	.	.	.	.	T	.	.
sub_407360	.text	00407360	000000A1	00000018		R	.	.	.	.	.	.	.	.	.
sub_4073E0	.text	004073E0	000005BB	00001300	00000008	R	.	.	.	.	.	B	.	.	.
sub_407920	.text	00407920	0000006C	00000008		R	.	.	.	.	.	.	.	.	.
sub_407990	.text	00407990	0000013B	00000030		R	.	.	.	.	.	.	.	.	.
sub_407AB0	.text	00407AB0	0000001B	00000004		R	.	.	.	.	.	.	.	.	.
sub_407AD0	.text	00407AD0	0000001D	00000004		R	.	.	.	.	.	.	.	.	.
sub_407AF0	.text	00407AF0	00000176	00000040	00000008	R	.	.	.	.	.	.	.	.	.
sub_407C40	.text	00407C40	0000003F	00000004	00000004	R	.	.	.	.	.	.	.	.	.
sub_407C80	.text	00407C80	00000012	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_407CA0	.text	00407CA0	000001C4	00000034	00000004	R	.	.	.	.	.	.	.	.	.
sub_407E30	.text	00407E30	0000001C	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_407E50	.text	00407E50	000000E5	0000002C	00000008	R	.	.	.	.	.	.	.	.	.
sub_407F20	.text	00407F20	000000E5	0000002C		R	.	.	.	.	.	.	.	.	.
sub_407FF0	.text	00407FF0	000005A2	00000388	00000008	R	.	.	.	.	.	B	T	.	.
WinMain(x,x,x,x)	.text	004084D0	00000023	00000004	00000010	R	.	.	.	.	.	.	T	.	.
sub_408500	.text	00408500	00000068	00000008	00000004	R	.	.	.	.	.	.	.	.	.
sub_408570	.text	00408570	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_4085A0	.text	004085A0	0000006C	00000008	00000004	R	.	.	.	.	.	.	.	.	.
sub_408610	.text	00408610	0000002F	00000000		R	.	.	.	.	.	.	.	.	.
sub_408640	.text	00408640	00000022	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_408670	.text	00408670	00000447	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_408900	.text	00408900	0000003C	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_408940	.text	00408940	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_408970	.text	00408970	00000040	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_4089B0	.text	004089B0	00000010	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_4089C0	.text	004089C0	00000077	00000000		R	.	.	.	.	.	.	.	.	.
sub_408A70	.text	00408A70	0000037C	00000034	00000008	R	.	.	.	.	.	.	.	.	.
sub_408D60	.text	00408D60	00000145	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_408E30	.text	00408E30	00000147	00000008		R	.	.	.	.	.	.	.	.	.
sub_408F80	.text	00408F80	000000A9	0000002C	00000004	R	.	.	.	.	.	.	.	.	.
sub_409030	.text	00409030	000000A9	0000002C	00000004	R	.	.	.	.	.	.	.	.	.
sub_4090E0	.text	004090E0	000000D6	00000014	00000008	R	.	.	.	.	.	.	.	.	.
sub_409180	.text	00409180	00000006	00000000		R	.	.	.	.	.	.	.	.	.
sub_409190	.text	00409190	0000001D	00000000		R	.	.	.	.	.	.	.	.	.
sub_4091B0	.text	004091B0	0000005A	00000004		R	.	.	.	.	.	.	.	.	.
sub_409250	.text	00409250	00000089	00000018	00000004	R	.	.	.	.	.	.	.	.	.
sub_4092C0	.text	004092C0	0000009A	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_409340	.text	00409340	000000D2	00000024	00000008	R	.	.	.	.	.	.	.	.	.
sub_409430	.text	00409430	00000146	00000024	00000008	R	.	.	.	.	.	.	.	.	.
sub_409500	.text	00409500	0000000E	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_409520	.text	00409520	000000D4	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_4095E0	.text	004095E0	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_409610	.text	00409610	00000047	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_409660	.text	00409660	00000058	00000008		R	.	.	.	.	.	.	.	.	.
sub_4096C0	.text	004096C0	00000005	00000000		R	.	.	.	.	.	.	.	.	.
sub_4096D0	.text	004096D0	00000006	00000000		R	.	.	.	.	.	.	.	.	.
sub_4096E0	.text	004096E0	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_409710	.text	00409710	00000040	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_409750	.text	00409750	00000034	00000000		R	.	.	.	.	.	.	.	.	.
sub_409790	.text	00409790	0000002E	00000008	00000008	R	.	.	.	.	.	.	.	.	.
sub_4097C0	.text	004097C0	00000049	00000008	00000008	R	.	.	.	.	.	.	.	.	.
sub_409810	.text	00409810	00000036	00000000		R	.	.	.	.	.	.	.	.	.
sub_409850	.text	00409850	0000002E	00000008	00000008	R	.	.	.	.	.	.	.	.	.
sub_409880	.text	00409880	0000003D	0000000C	00000008	R	.	.	.	.	.	.	.	.	.
sub_4098C0	.text	004098C0	00000293	00000060	00000008	R	.	.	.	.	.	.	.	.	.
sub_409B10	.text	00409B10	00000181	0000001C	00000008	R	.	.	.	.	.	.	.	.	.
sub_409C20	.text	00409C20	0000009B	00000024		R	.	.	.	.	.	.	.	.	.
sub_409CC0	.text	00409CC0	00000012	00000000		R	.	.	.	.	.	.	.	.	.
sub_409CE0	.text	00409CE0	000000A7	00000014		R	.	.	.	.	.	.	.	.	.
sub_409D90	.text	00409D90	00000088	00000014	00000004	R	.	.	.	.	.	.	.	.	.
sub_409E20	.text	00409E20	00000013	00000004		R	.	.	.	.	.	.	.	.	.
sub_409E40	.text	00409E40	0000001A	00000000		R	.	.	.	.	.	.	.	.	.
sub_409E60	.text	00409E60	00000033	00000000		R	.	.	.	.	.	.	.	.	.
sub_409EA0	.text	00409EA0	0000004A	0000000C		R	.	.	.	.	.	.	.	.	.
sub_409EF0	.text	00409EF0	00000078	00000018	00000004	R	.	.	.	.	.	.	.	.	.
sub_409F70	.text	00409F70	00000021	00000000		R	.	.	.	.	.	.	.	.	.
sub_409FA0	.text	00409FA0	0000001E	00000000		R	.	.	.	.	.	.	.	.	.
sub_409FD0	.text	00409FD0	00000065	00000004		R	.	.	.	.	.	.	.	.	.
sub_40A040	.text	0040A040	00000065	00000004		R	.	.	.	.	.	.	.	.	.
sub_40A0B0	.text	0040A0B0	00000122	00000010	00000004	R	.	.	.	.	.	.	.	.	.
sub_40A1E0	.text	0040A1E0	000000A8	00000024		R	.	.	.	.	.	B	.	.	.
sub_40A290	.text	0040A290	00000099	00000028	00000008	R	.	.	.	.	.	B	.	.	.
sub_40A300	.text	0040A300	00000030	00000008		R	.	.	.	.	.	.	.	.	.
sub_40A330	.text	0040A330	000000AB	00000030	00000004	R	.	.	.	.	.	B	.	.	.
sub_40A3E0	.text	0040A3E0	0000006A	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_40A450	.text	0040A450	000000FA	00000020	00000008	R	.	.	.	.	.	.	.	.	.
sub_40A5C0	.text	0040A5C0	000000E9	0000001C	00000008	R	.	.	.	.	.	.	.	.	.
sub_40A650	.text	0040A650	00000088	00000008	00000004	R	.	.	.	.	.	.	.	.	.
sub_40A6E0	.text	0040A6E0	00000062	00000004		R	.	.	.	.	.	.	.	.	.
sub_40A750	.text	0040A750	000000E1	0000001C	0000000C	R	.	.	.	.	.	B	.	.	.
sub_40A840	.text	0040A840	00000224	00000030	0000000C	R	.	.	.	.	.	.	.	.	.
sub_40AA70	.text	0040AA70	0000009A	00000008	0000000C	R	.	.	.	.	.	.	.	.	.
sub_40AB10	.text	0040AB10	000000BF	00000024	00000008	R	.	.	.	.	.	.	.	.	.
sub_40ABD0	.text	0040ABD0	00000069	00000014	00000008	R	.	.	.	.	.	.	.	.	.
sub_40AC40	.text	0040AC40	00000091	00000014	00000008	R	.	.	.	.	.	.	.	.	.
sub_40ACE0	.text	0040ACE0	000000A1	0000000C	0000000C	R	.	.	.	.	.	.	.	.	.
sub_40AD90	.text	0040AD90	00000075	00000004	00000008	R	.	.	.	.	.	.	.	.	.
sub_40AE10	.text	0040AE10	0000006D	00000010	0000000C	R	.	.	.	.	.	.	.	.	.
sub_40AE80	.text	0040AE80	00000049	00000000	0000000C	R	.	.	.	.	.	.	.	.	.
sub_40AED0	.text	0040AED0	0000002F	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_40AF00	.text	0040AF00	0000001A	00000000		R	.	.	.	.	.	.	.	.	.
sub_40AF40	.text	0040AF40	00000024	00000000		R	.	.	.	.	.	.	T	.	.
sub_40AF70	.text	0040AF70	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_40AFA0	.text	0040AFA0	00000040	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_40AFE0	.text	0040AFE0	00000020	00000000		R	.	.	.	.	.	.	.	.	.
sub_40B000	.text	0040B000	000000A6	00000004		R	.	.	.	.	.	.	.	.	.
sub_40B0E0	.text	0040B0E0	000000E6	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40B190	.text	0040B190	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_40B1C0	.text	0040B1C0	00000032	00000000		R	.	.	.	.	.	.	.	.	.
sub_40B200	.text	0040B200	00000202	0000010C	00000008	R	.	.	.	.	.	.	.	.	.
sub_40B3D0	.text	0040B3D0	0000001B	00000000		R	.	.	.	.	.	.	.	.	.
sub_40B3F0	.text	0040B3F0	000000B9	00000004	00000008	R	.	.	.	.	.	.	.	.	.
sub_40B4B0	.text	0040B4B0	000000F5	00000004	00000008	R	.	.	.	.	.	.	.	.	.
sub_40B5B0	.text	0040B5B0	00000005	00000000		R	.	.	.	.	.	.	.	.	.
sub_40B5C0	.text	0040B5C0	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_40B5F0	.text	0040B5F0	0000004A	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_40B640	.text	0040B640	0000004E	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_40B690	.text	0040B690	00000020	00000000		R	.	.	.	.	.	.	.	.	.
sub_40B6C0	.text	0040B6C0	000001EF	00000000		R	.	.	.	.	.	.	.	.	.
sub_40B9E0	.text	0040B9E0	000002B9	00000020	00000008	R	.	.	.	.	.	.	.	.	.
sub_40BB40	.text	0040BB40	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_40BB70	.text	0040BB70	0000004A	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_40BBC0	.text	0040BBC0	0000002B	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_40BBF0	.text	0040BBF0	0000005B	00000008		R	.	.	.	.	.	.	.	.	.
sub_40BC90	.text	0040BC90	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_40BCE0	.text	0040BCE0	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_40BD10	.text	0040BD10	00000047	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_40BD60	.text	0040BD60	00000077	00000010	00000004	R	.	.	.	.	.	.	.	.	.
sub_40BDC0	.text	0040BDC0	00000090	00000014		R	.	.	.	.	.	.	.	.	.
sub_40BE30	.text	0040BE30	000004F8	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40C1E0	.text	0040C1E0	0000077F	00000028	00000008	R	.	.	.	.	.	.	.	.	.
sub_40C670	.text	0040C670	000000CC	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40C6F0	.text	0040C6F0	00000093	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40C770	.text	0040C770	000000E7	0000001C	00000008	R	.	.	.	.	.	.	.	.	.
sub_40C800	.text	0040C800	00000607	00000014	00000008	R	.	.	.	.	.	.	.	.	.
sub_40CCA0	.text	0040CCA0	00000415	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40CF50	.text	0040CF50	000000ED	00000004		R	.	.	.	.	.	.	.	.	.
sub_40D040	.text	0040D040	00000135	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40D120	.text	0040D120	0000041D	00000004		R	.	.	.	.	.	.	.	.	.
sub_40D540	.text	0040D540	000003BB	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40D7C0	.text	0040D7C0	0000023D	00000004		R	.	.	.	.	.	.	.	.	.
sub_40DA00	.text	0040DA00	0000023F	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40DB80	.text	0040DB80	0000008D	00000004		R	.	.	.	.	.	.	.	.	.
sub_40DC10	.text	0040DC10	000000EC	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40DCC0	.text	0040DCC0	0000026C	00000014	00000008	R	.	.	.	.	.	.	.	.	.
sub_40DEA0	.text	0040DEA0	000001CF	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40DFE0	.text	0040DFE0	0000008C	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40E050	.text	0040E050	0000020D	00000004		R	.	.	.	.	.	.	.	.	.
sub_40E260	.text	0040E260	00000219	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_40E3D0	.text	0040E3D0	000007C5	00000004		R	.	.	.	.	.	.	.	.	.
sub_40EBA0	.text	0040EBA0	000006D8	00000020	00000008	R	.	.	.	.	.	.	.	.	.
sub_40EFE0	.text	0040EFE0	000001AD	00000004		R	.	.	.	.	.	.	.	.	.
sub_40F190	.text	0040F190	000001CD	00000018	00000004	R	.	.	.	.	.	.	.	.	.
sub_40F2D0	.text	0040F2D0	00000D52	00000014	00000008	R	.	.	.	.	.	.	.	.	.
sub_40FD20	.text	0040FD20	0000087D	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_4102A0	.text	004102A0	0000035D	00000004		R	.	.	.	.	.	.	.	.	.
sub_410600	.text	00410600	00000323	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_410850	.text	00410850	000000AC	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_4108D0	.text	004108D0	000003ED	00000004		R	.	.	.	.	.	.	.	.	.
sub_410CC0	.text	00410CC0	00000395	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_410F20	.text	00410F20	000002CD	00000004		R	.	.	.	.	.	.	.	.	.
sub_4111F0	.text	004111F0	000002B1	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_4113C0	.text	004113C0	000000CA	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_411440	.text	00411440	000000CC	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_4114C0	.text	004114C0	0000006C	00000004		R	.	.	.	.	.	.	.	.	.
sub_411530	.text	00411530	000000CC	00000018	00000008	R	.	.	.	.	.	.	.	.	.
sub_4115D0	.text	004115D0	00000059	00000000		R	.	.	.	.	.	.	.	.	.
sub_411730	.text	00411730	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411780	.text	00411780	00000058	00000008		R	.	.	.	.	.	.	.	.	.
sub_4117E0	.text	004117E0	00000040	00000004	00000004	R	.	.	.	.	.	.	.	.	.
sub_411820	.text	00411820	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411870	.text	00411870	00000010	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411880	.text	00411880	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_4118D0	.text	004118D0	000000E3	0000001C	00000008	R	.	.	.	.	.	.	.	.	.
sub_411980	.text	00411980	000000AB	00000014	00000008	R	.	.	.	.	.	.	.	.	.
sub_411A10	.text	00411A10	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_411A40	.text	00411A40	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411A90	.text	00411A90	00000058	00000008		R	.	.	.	.	.	.	.	.	.
sub_411AF0	.text	00411AF0	00000040	00000004	00000004	R	.	.	.	.	.	.	.	.	.
sub_411B30	.text	00411B30	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411B80	.text	00411B80	00000040	00000004	00000004	R	.	.	.	.	.	.	.	.	.
sub_411BC0	.text	00411BC0	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411C10	.text	00411C10	00000090	00000014		R	.	.	.	.	.	.	.	.	.
sub_411C80	.text	00411C80	00000077	00000010	00000004	R	.	.	.	.	.	.	.	.	.
sub_411CE0	.text	00411CE0	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_411D10	.text	00411D10	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411D60	.text	00411D60	00000010	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411D70	.text	00411D70	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_411DA0	.text	00411DA0	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411DF0	.text	00411DF0	00000064	00000004		R	.	.	.	.	.	.	.	.	.
sub_411E60	.text	00411E60	00000052	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411EC0	.text	00411EC0	0000002E	00000000		R	.	.	.	.	.	.	.	.	.
sub_411EF0	.text	00411EF0	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411F40	.text	00411F40	00000020	00000000		R	.	.	.	.	.	.	.	.	.
sub_411F60	.text	00411F60	00000010	00000000	00000004	R	.	.	.	.	.	.	.	.	.
sub_411F70	.text	00411F70	00000043	00000000	00000004	R	.	.	.	.	.	.	.	.	.
