sub_4084D0 | UbiArt_WinMain                         | WinMain
sub_58F700 | GetOrCreateColFeedbackObject           | Looks up or creates a "col_feedbacks" object using critical section and a tree structure. Returns a pointer to an object with virtual functions; increments reference count (v10[28]++). Called from InitFeedbackAndRunCallback to obtain the feedback context.
sub_401000 | InitObjectContext                      | Initializes a generic object context (structure at a2) and copies data from 'this' and a3. Sets various fields to zero/default, including flags (0xFFFFFF), and calls sub_8A2E20 at the end. Used for engine subsystems initialization.
sub_406EA0 | ConvertCharUTF16toUTF8                 | Converts a single Unicode code point (a1, 32-bit) to UTF-8 sequence stored at a2. Handles invalid code points (replaces with 0xFFFD) and surrogate pairs detection. Returns number of bytes written (1-4).
sub_4010A0 | GetDefaultViewportValues               | Returns a pointer to two 64-bit floating-point values (qword_DDE7F8 and qword_DDE800) after lazy initialization. First value is 0.0, second is 1.0. Possibly used for camera/viewport transformation defaults.
sub_75AD10 | GetLanguageIndex                       | Compares the input language string (String1) against a hardcoded list of supported languages (Brazilian, Danish, Dutch, English, ... TraditionalChinese, tchinese). Returns an integer index (0-18) for matching language, or 19 if not found. Called during engine initialization to set the correct localization.
sub_58C310 | GetUniqueFeedbackChannelId             | Lazy initialization: allocates a unique channel ID (28 bytes) on first call. Subsequent calls return the same cached ID. Used by GetOrCreateColFeedbackObject to identify the feedback channel.
sub_58C340 | IsValidFeedbackChannelId               | Checks if the given ID matches the cached feedback channel ID (from sub_58C310) OR if it matches two special constant values (-700406612 and -899756606). Used to validate channel ownership before operations.
sub_590660 | FindOrInsertHashEntry                  | Searches for a string key in a hash table (using critical section). If not found, allocates and copies key data (0x51 bytes) into a new entry. Stores the entry pointer in a global structure (via sub_5E9300+4) under lock.
sub_413990 | IsValidFeedbackChannelId               | Checks if the given ID matches the cached feedback channel ID (from GetUniqueFeedbackChannelId) or equals special constants -700406612 or -899756606 (likely global/system IDs).
sub_4060A0 | CompareStringWithLength                | Compares two structures (a1, a2) each containing a string and its length at offset 84. Returns true if lengths differ OR strings differ (case-sensitive strcmp).
sub_761900 | ReportTemplateError                    | Called when a template error occurs. Checks virtual function (offset 28) of 'this'. If it returns false, builds an error message ("Errors in template:\n...") and displays a dialog using the engine's UI system (via dword_DDE87C+268). Used for runtime error reporting.
sub_4EA380 | BinaryTreeSearch                       | Performs a binary tree search given a root node (a2+8 points to first node). Each node has left (*node) and right (node[1]) children, and key at node[4]. Compares with key (*a3). Returns the node containing the key or the parent node. Result is stored in the structure pointed by 'result'.
sub_8A4CD0 | ComputeCustomHash                      | 64-bit hash function (returns 32-bit due to decompilation, but uses 64-bit intermediates). Processes input in 12-byte chunks, converts A-Z to uppercase (a-z to A-Z by subtracting 32). Magic constant: 0x9e3779b5 (not 0x9e3779b9 - note the 0xb5 vs 0xb9 difference). Uses sub_8A4BD0 as final mixing/avalanche step. Total hash includes accumulated v4 (v40) + original length. Used for fast string lookup in hash tables (case-insensitive). int __usercall ComputeCustomHash@<eax>(char *a1@<eax>, unsigned int a2);
sub_5E9300 | FindOrCreateTreeNode                   | Searches a binary search tree (root at a2[2]) for a key (*a1). Tree nodes have left (*node), right (node[1]), and key (node[4]). If key found, returns pointer to node+4 (data?). If not found, creates a new node via sub_499650 and returns offset 16 from that.
sub_8A3410 | IncrementRefCountLocked                | Atomically increments the reference count at (a1+20) using a spinlock on global 'Target'. Waits if the lock is already held (InterlockedCompareExchange returns 1). Returns the previous lock value after unlocking (InterlockedExchange with 0).
sub_591540 | CreateObjectByName                     | Creates a new game object based on the name string (a1) and stores a pointer into *a2. Checks validity via sub_761820, then initializes a structure (v18..v27) as a "context" (off_CF2450). Calls sub_593860 to actually instantiate the object, then sets its NAME property via virtual function. Returns cleanup result (sub_8A5880).
sub_8A2090 | AppendString                           | Appends the content of string structure a2 to the string structure a1. Handles dynamic reallocation if capacity is insufficient. String structure layout: at offset 0: char* buffer, offset 8: current length, offset 12: capacity flags. Uses off_DD7190 for allocation (similar to malloc with alignment). If the original buffer was allocated separately and not using static storage, it frees it via UbiArt_Shutdown.
sub_8A4BD0 | HashFinalMix                           | Avalanche mixing function (final step of hash computation). Takes three 32-bit values (result, a2, a3) and performs 9 rounds of mixing: Round1: v3 = (result>>13) ^ (a3 - a2 - result); a3=v3; a2=(v3<<8)^v4 Round2: v8 = (a2>>13) ^ (v6 - a2); result=v8; a3=(v8>>12)^v9 Round3: v13 = (a3>>5) ^ (v11 - a3); result=v13; a3=(v13>>3)^v14 Round4: final = (a2>>15) ^ (v18 - a2) This is a custom avalanche function, different from standard xxHash/MurmurHash. Updates all three parameters in place. unsigned int *__usercall HashFinalMix@<eax>(unsigned int *result@<eax>, unsigned int *a2@<ecx>, int *a3);
sub_499650 | BinaryTreeInsert                       | Inserts a key (a3) into a binary search tree rooted at a1. Returns a structure (at a2) containing the address of the parent node (or new node) and a flag. Uses sub_54BF30 to allocate new node if key not found, or sub_8A5F30 for other cases. The returned structure: [0] = node pointer, [4] = bool (1 if new node created, 0 if existing?).
sub_593860 | AllocateEngineObject                   | Allocates and constructs an engine object of size 272 bytes. If *a1 is valid, it assumes a pre-allocated memory block and uses offset a1[1] (after alignment adjustment). Otherwise, allocates 272 bytes via off_DD7190 (aligned allocator). Then calls sub_58C520 to initialize the object (constructor). Returns pointer to the created object, or 0 on failure.
sub_761820 | LoadResourceByName                     | Loads a game resource identified by name (a2) using the engine's resource system. First calls sub_8A9540 (probably a resolver), then uses dword_DDE83C (resource manager) to get a resource context (method 40), then retrieves its size (method 40 again), and finally loads the resource data via method 16. Stores size in a1[4] and returns a handle/pointer. Returns 0 if resource not found.
sub_8A5880 | ClearStringOrListStructure             | Cleans up a complex structure (at a1) that contains embedded heap-allocated objects. The structure has at offset 8 a pointer to another structure (v2) with multiple fields. It recursively frees internal buffers (v2[2], v2[6]) using sub_7366E0 and off_DD7198, then frees v2 itself. Finally, frees the main buffer at *(void **)a1. Used for destroying dynamically allocated string/list containers.
sub_54BF30 | AllocateTreeNode                       | Creates a new tree node (size 24 bytes) either from a pool (if a1[11] is set) or via off_DD7190. Initializes node fields: left, right, parent, refcount=1, key from a4 (two DWORDs). Then inserts the node into the tree at the position determined by a3 (parent) and a2 (direction). Updates parent links and returns the new node.
sub_8A5F30 | FindTreeSuccessor                      | Finds the in-order successor of a given node in a binary tree. If node has a right child, returns the leftmost node in that subtree. Otherwise, walks up parent pointers until finding a node where the current node is not the right child, then returns that parent. Used during deletion, rebalancing, and when determining insertion points for existing keys. Returns the successor node (or the original node if no successor). _DWORD *__usercall FindTreeSuccessor@<eax>(_DWORD *result@<eax>);
sub_58C520 | InitEngineObject                       | Constructor for a 272-byte engine object (likely a base class for many game entities). Sets fields to default values (0, -1, pointers to VTable off_CD18BC, etc.). Initializes a critical section or list at offset 180 (self-referential). Calls sub_4E0CA0 to initialize an array at offset 248 (size 10*?). Returns the same pointer (a1).
sub_8A9540 | ResolveAndLoadResource                 | Resolves a resource path (Src) using the engine's resource system. First calls sub_8A9840 to check/convert, then builds a "ckd" (chunk?) string. Calls sub_8A9670 and sub_8A3E30 to actually load the resource data into a3. If resolution fails, simply copies Src to a3. Returns a3 (output buffer).
sub_7366E0 | FreeLinkedListRecursive                | Recursively frees a singly-linked list where each node contains two pointers: node[0] = next, node[1] = maybe child or previous? Actually it frees node[0] first (recursive), then frees node[1] (after), then frees the current node. Uses off_DD7198 (free) as the deallocator. This is a depth-first deletion of a tree or linked structure.
sub_8A5A60 | RebalanceTreeAfterInsert               | Red-black tree rebalancing after node insertion. Adjusts colors (offset 12: 0=red, 1=black) and performs left/right rotations to maintain tree balance. a1 is the newly inserted node (red initially), a2 points to tree root handle (offset 8 is root pointer). Handles both left and right uncle cases with rotations (v2 = parent, v3 = grandparent). Loop continues until reaching root or parent is black. Finally sets root to black and increments tree size (a2+16). int __usercall RebalanceTreeAfterInsert@<eax>(_DWORD *a1@<ecx>, int a2@<edi>);
sub_8A9840 | ResolveResource                        | Resolves a resource identified by 'this' (maybe a path/name) and stores the resolved data (0x51 bytes) into a3. Returns 1 on success, 0 on failure. Uses internal resource manager functions to fetch resource content.
sub_8A9670 | FormatFilenameWithExtension            | Builds a filename string: "a2.a1[0]" (e.g., "map.ckd"). Initializes the output structure at a3 (string container) and writes the formatted name into it. Returns a3.
sub_8A3E30 | InitializeStringBuffer                 | Copies Src into a2 (string container) and performs additional setup via sub_8A3D80. Returns a2 (initialized buffer).
sub_4E0CA0 | ResizeArray                            | Resizes a dynamic array (similar to std::vector). a2 points to struct: [0]=data ptr, [4]=capacity, [8]=size (or current index). a1 is the new required index? Actually a1 might be the current index (size). a3 is the new minimum capacity. a4: if 0, growth factor 1.5; if 1, exact. Ensures capacity >= a3 and optionally copies data. Returns new capacity? Actually returns something else.
sub_8A3950 | IsRenderSystemAvailable                | Checks if the render system (e.g., DirectX9) is available and ready. Creates two temporary string buffers, fills them with a renderer name (via SetRendererString), then calls sub_509EB0 (likely a low-level renderer capability check). Cleans up the temporary buffers using UbiArt_Shutdown. Returns: 1 if render system is ready, 0 otherwise. int __stdcall IsRenderSystemAvailable(int a1); // a1 unused? might be context
sub_8A40A0 | CloneResourceObject                    | Performs a deep copy of a resource object (Src) into destination (a2), then calls sub_8A4200 (likely post-initialization or validation) on a3. Returns the destination pointer (a2). void *__stdcall CloneResourceObject(void *Src, void *a2, int a3);
sub_8A3D80 | NormalizeAndNullTerminate              | Normalizes a string or resource identifier (a1) using sub_4064A0, then writes a null terminator to the byte pointed by a2. If internal cleanup flag (v4) is zero, frees temporary structure v3 via UbiArt_Shutdown. Returns a2 (which is now a null byte). _BYTE *__userpurge NormalizeAndNullTerminate@<eax>(int a1@<eax>, _BYTE *a2);
sub_8A1C10 | UbiArt_Printf                          | A wrapper around sub_8A1C30 that implements printf-like formatting. Takes a format string and variable arguments, but the current decompilation only shows a single argument (a1) being passed to sub_8A1C30. Likely: int UbiArt_Printf(const char *format, ...); int __usercall UbiArt_Printf@<eax>(int a1@<eax>, const char *a2, ...);
sub_8A34F0 | DeepCopySharedStructure                | Deep copy of a 0x51-byte (81 bytes) structure that contains a reference-counted shared block. Copies the entire memory block from Src to this, then handles the shared pointer at offset 84 (Src[21]). If that pointer is valid, atomically increments its reference count (at offset 20) using a spinlock. Also copies the value at offset 88 (Src[22]) to this[22] after the increment. Returns this (the destination). _DWORD *__thiscall DeepCopySharedStructure(_DWORD *this, _DWORD *Src);
sub_8A3730 | ConcatTwoStringSources                 | Concatenates two string sources into the destination buffer. First source: from the pointer at offset 84 (a2+21) - a shared string or fallback. Second source: the raw string pointed by a2 itself. Copies first source (or default "Source"/String2 if null), then copies a2. Returns the end of the destination buffer (used for chaining). char *__usercall ConcatTwoStringSources@<eax>(char *result@<eax>, char *a2@<edx>);
sub_509EB0 | CompareRendererIdentifier              | Compares a renderer identifier string from a2 with expected data in a1. a2 points to a structure: [0]=data ptr, [4]=?, [8]=length (v5). a1 points to a renderer context: [0]=expected string (or "String2"), [8]=expected length. Returns 1 if lengths match and strings are equal (byte-by-byte), 0 otherwise. Used to verify if the current renderer (e.g., "directx9") matches the required one. char __usercall CompareRendererIdentifier@<al>(int a1@<eax>, unsigned __int8 **a2@<edx>);
sub_8A4200 | ConcatAndResetObjectName               | Concatenates two strings (from 'this' and a2) using temporary buffers, appends them via AppendString, then releases and resets the object's resource. Stores the old value at offset 92, releases engine resource, restores the value. Sets the first byte of 'this' to 0 (marks as invalid/empty). Finally cleans up temporary buffers. Used during object reinitialization or cloning. void __thiscall ConcatAndResetObjectName(int this, char *a2);
sub_8A1C30 | FormatStringToEngineBuffer             | Formats a printf-style string into a temporary 2048-byte buffer using vsnprintf. Calls SetRendererString to copy the formatted result into the engine string structure (a3). Stores the final string length in a3[2] (offset 8 of the structure? actually a3 is a char*, but treated as structure with fields at offsets 0, 4, 8? SetRendererString expects a struct). Returns the input a3 (the destination string structure's buffer pointer?). Used by UbiArt_Printf (sub_8A1C10) as the core formatting routine. const char *__userpurge FormatStringToEngineBuffer@<eax>(va_list a1@<edi>, const char *a2@<esi>, const char **a3);
sub_8A28B0 | AcquireSmallBufferFromPool             | Fetches a small buffer (max 255 bytes) from a thread-local static pool. Validates stack distance < 4096, global dword_DDF130 exists, TLS state matches special cookie (-547983063). Retrieves current thread index via TlsGetValue(dwTlsIndex). Pops a buffer address from a LIFO stack (pool) at dword_DDF130 + 88*threadId + 8. Returns buffer pointer and sets capacity=255, length=0 in the destination structure (a2). flags at a2+12 are updated with the buffer index (v4) masked into the lower 24 bits. Critical for avoiding heap allocations for small temporary strings.
sub_8A2970 | AllocateAlignedStringBuffer            | Allocates a new string buffer of size a1+1 bytes using off_DD7190 (sub_8A3230 - aligned malloc). Alignment: 16 bytes if (a1+1) < 32, otherwise 32 bytes. Sets a2[3] (flags) |= 0xFFFFFF (marks as large/buffer owned mode), a2[1] = a1 (capacity), a2[0] = buffer pointer, a2[2] = 0 (current length). Buffer's first byte is set to null terminator. Returns the allocated buffer pointer.
sub_8A17F0 | TrackBufferAllocation                  | Registers a buffer allocation (a2) in a thread-local tracking array at dword_DDF130 + 88*threadId + 8. If allocation belongs to current thread (based on TLS cookie and thread ID in a1+15), adds to local array at v4+40. If array is full (v7[1] == capacity v8), expands via sub_69CE90. If allocation belongs to a different thread, falls back to sub_8A2750 with critical section. Returns the index where the buffer was recorded. Used for memory leak detection.
sub_8A44C0 | ParseAndClassifyResourcePath           | Parses a resource path string, analyzes its properties, and sets classification flags. Checks: ASCII-only, contains spaces, path prefixes (enginedata/, fxfeedback/, world/, sound/, video/). Sets flags in a2+92: bit2=isLarge(>=0x100), bit5=hasSpace, bit4=hasNonASCII, bit3=hasSubPath, bit6=hasPrefixMatch. Also normalizes the string (truncates to 255 chars) and stores processed data. Returns strncmp result (0 if path matches known prefixes). int __userpurge ParseAndClassifyResourcePath@<eax>(unsigned int a1@<ecx>, int a2@<esi>, char *Str);
sub_8A2090 | AppendStringToBuffer                   | Appends string from a2 to the end of buffer at a1. Handles reallocation: if capacity is 0xFFFFFF (large buffer marker), reallocates; if new total >= 256 bytes, converts to large buffer mode (0xFFFFFF marker). Copies existing data to new buffer if reallocated. Appends source string, updates length, null-terminates. Frees old buffer if reallocated and old buffer wasn't in small pool mode. This is the complete implementation of the previously-seen AppendString. void *__userpurge AppendStringToBuffer@<eax>(int a1@<eax>, int a2);
sub_8A2750 | TrackAllocationWithCriticalSection     | Thread-safe allocation tracking using a critical section. this+64: pointer to CRITICAL_SECTION structure. this+16: allocation tracking array structure (same layout as ResizeTrackingArray). Adds buffer address (a2) to the tracking array. If array is full (current size == capacity), expands via sub_69CE90. Protected by EnterCriticalSection/LeaveCriticalSection. Used for cross-thread memory tracking (fallback when sub_8A17F0 detects thread mismatch). void __thiscall TrackAllocationWithCriticalSection(int this, int a2);
sub_69CE90 | ResizeTrackingArray                    | Resizes a dynamic array used for tracking memory allocations. Structure at a1: [0]=data ptr, [4]=current size, [8]=capacity flags (low 25 bits), [12]=?. If new capacity (a2) equals current capacity, does nothing. If a2 > 1: allocates new array (4*a2 bytes) via off_DD7190. Alignment: 8 bytes if size<16, otherwise 16. If a2 == 1: uses static buffer at a1+16 (inline storage). If a2 == 0: sets v4 = nullptr. Copies existing data (4 * current size) to new buffer, frees old buffer if not using static storage. Updates capacity flags: stores a2 in low 25 bits, sets bit25 if using static buffer. int __userpurge ResizeTrackingArray@<eax>(int a1@<esi>, unsigned int a2);
sub_8A4350 | NormalizeResourcePath                  | Normalizes a resource path: converts backslashes to forward slashes (or vice versa), handles case-insensitivity (uppercase to lowercase), resolves ".." parent directory references, removes redundant separators, strips trailing spaces, truncates to 80 characters max. Returns normalized string in a2, sets flags in a4 (truncated) and a5 (hasParentDir). Core path canonicalization function used by resource loading system. char __usercall NormalizeResourcePath@<al>(int a1@<eax>, char *a2, char *a3, _BYTE *a4, _DWORD *a5, _DWORD *a6);
sub_8A33B0 | GetOrCreateHashObject                  | Computes a 64-bit hash of input string a1 using sub_8A4CD0 (ComputeCustomHash), then atomically looks up or creates an object associated with that hash. Uses spinlock on global Target for thread safety. Returns a pointer to a reference-counted object (offset+20 is refcount). Used for caching string-to-object mappings in resource system. int __usercall GetOrCreateHashObject@<eax>(char *a1@<eax>);
sub_4064A0 | AssignStringWithRealloc                | Copies source string from a2 to destination buffer a1 with automatic reallocation. If capacity insufficient: tries small pool (sub_8A28B0) for <256 bytes, or allocates new aligned buffer via off_DD7190 for large strings. Handles three capacity modes: small pool (0xFFFFFF flag), large allocated, or static. After ensuring capacity, copies string, null-terminates, updates length at a1+8. This is the core string assignment function used throughout the engine. _BYTE *__userpurge AssignStringWithRealloc@<eax>(int a1@<eax>, int a2);
sub_8A3470 | LookupOrCreateHashNode                 | Performs a binary tree lookup for a hash value (a4) in a tree rooted at a thread-local storage location. If found, returns pointer to node data at offset 20. If not found, creates a new node via sub_8A4810, copies string a2 into it using SetRendererString, and returns pointer to the string buffer at offset 4 of the new node. Tree structure: each node has left (*node), right (node[1]), and key at node[4] (hash value). Used by GetOrCreateHashObject to cache string-to-hash mappings. char *__userpurge LookupOrCreateHashNode@<eax>(int a1@<ecx>, char *a2@<edi>, int a3@<esi>, unsigned int a4);
sub_8A4810 | CreateHashNodeForKey                   | Creates a new hash node for a given key value (a1) in the tree rooted at a2[2]. Performs tree lookup; if key exists and belongs to the tree (not sentinel), returns pointer to node+4. If key not found or belongs to sentinel node (a2), creates a new node: - Allocates a temporary string buffer (0xFFFFFF flag mode) - Copies key value into v12 - Calls sub_8A4930 to find insertion position - Returns pointer to v9+16 (node data area) Returns pointer to node data at offset 4 (existing) or offset 16 (newly created?). _DWORD *__fastcall CreateHashNodeForKey(unsigned int *a1, _DWORD *a2);  
sub_8A4930 | FindTreeInsertionPoint                 | Searches a binary tree (root at a1[2]) for key value *a3. Returns a structure (at a2) containing: [0] = node pointer (parent or node to insert after) [4] = bool (1 if new node should be inserted, 0 if key already exists). Uses tree traversal: if key found, returns node and flag=0. If key not found, finds successor via sub_8A5F30 and determines insertion point. Calls sub_8A4A20 to prepare insertion context when new node needed. Critical function for tree insert operations (used by CreateHashNodeForKey). int __stdcall FindTreeInsertionPoint(_DWORD *a1, int a2, _DWORD *a3);
sub_8A4A20 | CreateAndInsertTreeNode                | Creates a new tree node (size 44 bytes) either from a pool (if a1[11] is set) or via aligned allocator off_DD7190 (alignment 32). Calls sub_8A4B40 to initialize the node. Determines insertion position: if a3 is sentinel (a1) OR a2 flag set OR key < a3[4], inserts as left child (a3[0]=v4), otherwise as right child (a3[1]=v4). Updates parent references and tree root if needed. Calls sub_8A5A60 for red-black rebalancing. Returns pointer to newly created node. _DWORD *__stdcall CreateAndInsertTreeNode(_DWORD *a1, int a2, _DWORD *a3, _DWORD *a4);
sub_8A4B40 | InitializeTreeNode                     | Initializes a newly allocated tree node structure (44 bytes total). Sets left (offset 0)=0, right (offset 4)=0, parent (offset 8)=0, color (offset 12)=1 (black initially), key (offset 16)=*a1. Sets flags (offset 32) |= 0xFFFFFF (buffer mode marker). Initializes embedded string structure at offset 20 by copying from a1+1 using sub_4064A0. Copies a1[5] to offset 40. Returns the initialized node pointer. int __usercall InitializeTreeNode@<eax>(_DWORD *a1@<ecx>, int a2@<edi>);

off_DD7190 | sub_8A3230 (AlignedAllocator)          | Custom aligned memory allocator (likely malloc with alignment parameter). Takes size, alignment, and a third flag parameter. Used throughout engine for allocating buffers, tree nodes, and engine objects. Paired with off_DD7198 (sub_8A32D0) for deallocation.
off_DD7198 | sub_8A32D0 (AlignedFree)               | Custom aligned memory deallocator paired with off_DD7190. Frees memory blocks previously allocated by sub_8A3230. Used by string functions, tree operations, and engine cleanup routines like UbiArt_Shutdown.

sub_8A3230 
sub_8A32D0 
sub_8A3280 
sub_8A32F0 
sub_8A2750 


